shipment_id,customer_id,route_id,origin_address,destination_address,weight_kg,package_type,service_type,pickup_date,estimated_delivery,actual_delivery,status,total_cost_idr,tracking_number
SHP00966,CUS0403,RTE046,"Jl. Anggrek No. 201, Medan","Jl. Merdeka No. 170, Padang",29.2,paket_sedang,express,2022-01-05,2022-01-07,2022-01-08,delivered,700800,TRK2201050001
SHP00967,CUS0441,RTE011,"Jl. Mangga No. 112, Jakarta","Jl. Gatot Subroto No. 134, Medan",35.3,paket_sedang,regular,2023-06-16,2023-06-21,2023-06-22,delivered,635400,TRK2306160001
SHP00968,CUS0407,RTE050,"Jl. Veteran No. 44, Medan","Jl. Gatot Subroto No. 115, Jakarta",46.7,paket_sedang,regular,2023-02-24,2023-03-01,2023-03-01,delivered,840600,TRK2302240001
SHP00969,CUS0188,RTE025,"Jl. Cendrawasih No. 81, Surabaya","Jl. Raya Bogor No. 70, Makassar",1.8,paket_kecil,regular,2024-07-25,2024-07-29,2024-07-29,delivered,21600,TRK2407250001
SHP00970,CUS0272,RTE053,"Jl. Merdeka No. 56, Makassar","Jl. Sudirman No. 155, Denpasar",11.7,paket_sedang,express,2024-05-01,2024-05-03,2024-05-04,delivered,321750,TRK2405010002
SHP00971,CUS0406,RTE070,"Jl. Sudirman No. 17, Balikpapan","Jl. Kenanga No. 161, Makassar",35.6,paket_besar,express,2023-07-29,2023-07-31,2023-07-31,delivered,961200,TRK2307290001
SHP00972,CUS0597,RTE007,"Jl. Diponegoro No. 46, Jakarta","Jl. Kebon Jeruk No. 250, Yogyakarta",22.0,paket_kecil,regular,2023-06-24,2023-06-27,2023-06-27,delivered,231000,TRK2306240002
SHP00973,CUS0039,RTE039,"Jl. Merdeka No. 164, Bandung","Jl. Thamrin No. 80, Denpasar",11.5,paket_besar,regular,2022-04-07,2022-04-11,2022-04-11,delivered,155250,TRK2204070002
SHP00974,CUS0573,RTE079,"Jl. Ahmad Yani No. 217, Pontianak","Jl. Imam Bonjol No. 174, Jakarta",9.1,paket_besar,same_day,2022-11-23,2022-11-23,,in_transit,307125,TRK2211230002
SHP00975,CUS0204,RTE026,"Jl. Diponegoro No. 267, Surabaya","Jl. Diponegoro No. 120, Solo",0.6,dokumen,regular,2024-04-01,2024-04-03,2024-04-04,delivered,5100,TRK2404010001
SHP00976,CUS0111,RTE028,"Jl. Merdeka No. 6, Surabaya","Jl. Veteran No. 12, Balikpapan",11.1,paket_kecil,regular,2024-06-22,2024-06-26,2024-06-26,delivered,138750,TRK2406220003
SHP00977,CUS0126,RTE055,"Jl. Mawar No. 187, Makassar","Jl. Sudirman No. 225, Surabaya",42.8,paket_kecil,express,2023-12-13,2023-12-16,2023-12-18,delivered,1155600,TRK2312130004
SHP00978,CUS0323,RTE032,"Jl. Pajajaran No. 30, Bandung","Jl. Pahlawan No. 143, Bogor",32.1,paket_kecil,regular,2022-12-21,2022-12-23,,in_transit,256800,TRK2212210001
SHP00979,CUS0237,RTE075,"Jl. Kenanga No. 133, Palembang","Jl. Melati No. 88, Padang",11.8,paket_kecil,same_day,2022-09-27,2022-09-27,,in_transit,495600,TRK2209270003
SHP00980,CUS0048,RTE017,"Jl. Kenanga No. 152, Jakarta","Jl. Mawar No. 35, Balikpapan",47.3,paket_besar,same_day,2022-02-03,2022-02-03,2022-02-03,delivered,2554200,TRK2202030001
SHP00981,CUS0167,RTE021,"Jl. Raya Bogor No. 68, Surabaya","Jl. Pemuda No. 27, Yogyakarta",44.1,dokumen,same_day,2024-04-27,2024-04-27,,in_transit,1323000,TRK2404270002
SHP00982,CUS0266,RTE070,"Jl. Mawar No. 53, Balikpapan","Jl. Melati No. 254, Makassar",16.1,paket_kecil,regular,2023-01-10,2023-01-14,2023-01-17,delivered,185150,TRK2301100004
SHP00983,CUS0052,RTE050,"Jl. Gajah Mada No. 278, Medan","Jl. Veteran No. 275, Jakarta",43.6,paket_sedang,express,2024-08-18,2024-08-21,2024-08-22,delivered,1700400,TRK2408180001
SHP00984,CUS0348,RTE065,"Jl. Gatot Subroto No. 93, Yogyakarta","Jl. Diponegoro No. 163, Surabaya",30.0,paket_besar,express,2023-12-04,2023-12-05,2023-12-05,delivered,510000,TRK2312040003
SHP00985,CUS0547,RTE037,"Jl. Margonda No. 131, Bandung","Jl. Anggrek No. 76, Malang",47.4,paket_sedang,express,2023-01-20,2023-01-22,2023-01-23,delivered,1042800,TRK2301200002
SHP00986,CUS0079,RTE024,"Jl. Asia Afrika No. 67, Surabaya","Jl. Gatot Subroto No. 45, Bandung",49.0,paket_kecil,regular,2024-11-17,2024-11-21,2024-11-20,delivered,563500,TRK2411170001
SHP00987,CUS0355,RTE071,"Jl. Cendrawasih No. 26, Pekanbaru","Jl. Raya Bogor No. 38, Padang",22.8,dokumen,express,2023-08-20,2023-08-21,,in_transit,467400,TRK2308200004
SHP00988,CUS0037,RTE029,"Jl. Cempaka No. 78, Surabaya","Jl. Gajah Mada No. 54, Manado",29.4,paket_sedang,regular,2023-12-28,2024-01-02,2024-01-02,delivered,499800,TRK2312280002
SHP00989,CUS0326,RTE015,"Jl. Melati No. 53, Jakarta","Jl. Pahlawan No. 90, Makassar",7.2,paket_sedang,regular,2023-06-06,2023-06-11,2023-06-11,delivered,118800,TRK2306060002
SHP00990,CUS0571,RTE059,"Jl. Pahlawan No. 84, Denpasar","Jl. Sudirman No. 185, Lombok",42.9,paket_kecil,regular,2024-02-09,2024-02-11,2024-02-11,delivered,343200,TRK2402090002
SHP00991,CUS0329,RTE034,"Jl. Mangga No. 196, Bandung","Jl. Merdeka No. 100, Yogyakarta",37.0,dokumen,express,2023-02-05,2023-02-06,2023-02-06,delivered,832500,TRK2302050001
SHP00992,CUS0297,RTE038,"Jl. Pemuda No. 227, Bandung","Jl. Sudirman No. 157, Cirebon",25.2,paket_sedang,express,2023-11-09,2023-11-10,,in_transit,428400,TRK2311090001
SHP00993,CUS0013,RTE035,"Jl. Mawar No. 11, Bandung","Jl. Pahlawan No. 6, Surabaya",43.0,paket_sedang,regular,2024-11-05,2024-11-09,,lost,494500,TRK2411050001
SHP00994,CUS0358,RTE010,"Jl. Cempaka No. 161, Jakarta","Jl. Merdeka No. 230, Denpasar",24.9,paket_sedang,regular,2024-03-24,2024-03-28,2024-03-28,delivered,348600,TRK2403240002
SHP00995,CUS0215,RTE021,"Jl. Cempaka No. 163, Surabaya","Jl. Cendrawasih No. 120, Yogyakarta",13.5,paket_sedang,express,2024-08-29,2024-08-30,2024-08-30,delivered,270000,TRK2408290002
SHP00996,CUS0175,RTE021,"Jl. Gajah Mada No. 291, Surabaya","Jl. Diponegoro No. 9, Yogyakarta",21.0,paket_besar,regular,2025-01-16,2025-01-19,2025-01-19,delivered,189000,TRK2501160002
SHP00997,CUS0138,RTE004,"Jl. Kebon Jeruk No. 189, Jakarta","Jl. Mangga No. 81, Bekasi",7.6,paket_kecil,regular,2023-10-23,2023-10-24,2023-10-27,delivered,53200,TRK2310230004
SHP00998,CUS0421,RTE028,"Jl. Thamrin No. 78, Surabaya","Jl. Mangga No. 163, Balikpapan",15.9,paket_sedang,express,2024-04-03,2024-04-05,2024-04-05,delivered,381600,TRK2404030001
SHP00999,CUS0251,RTE060,"Jl. Raya Bogor No. 79, Denpasar","Jl. Kebon Jeruk No. 210, Makassar",8.7,paket_sedang,regular,2023-01-04,2023-01-08,2023-01-07,delivered,100050,TRK2301040001
SHP01000,CUS0387,RTE010,"Jl. Hayam Wuruk No. 133, Jakarta","Jl. Cempaka No. 264, Denpasar",1.5,paket_sedang,regular,2022-07-18,2022-07-22,2022-07-22,delivered,21000,TRK2207180001
SHP01001,CUS0110,RTE029,"Jl. Kebon Jeruk No. 276, Surabaya","Jl. Setiabudi No. 21, Manado",2.3,paket_sedang,regular,2022-11-18,2022-11-23,2022-11-23,delivered,39100,TRK2211180001
SHP01002,CUS0086,RTE023,"Jl. Diponegoro No. 49, Surabaya","Jl. Pahlawan No. 40, Denpasar",18.7,paket_kecil,express,2022-08-19,2022-08-20,2022-08-22,delivered,392700,TRK2208190003
SHP01003,CUS0552,RTE020,"Jl. Cendrawasih No. 279, Surabaya","Jl. Cendrawasih No. 275, Malang",25.0,paket_sedang,regular,2022-08-01,2022-08-02,2022-08-04,delivered,187500,TRK2208010002
SHP01004,CUS0113,RTE068,"Jl. Hayam Wuruk No. 135, Balikpapan","Jl. Kenanga No. 276, Banjarmasin",3.0,paket_kecil,regular,2022-10-01,2022-10-04,2022-10-06,delivered,28500,TRK2210010003
SHP01005,CUS0001,RTE006,"Jl. Imam Bonjol No. 91, Jakarta","Jl. Mangga No. 258, Surabaya",45.8,paket_sedang,express,2024-12-10,2024-12-12,2024-12-13,delivered,1053400,TRK2412100003
SHP01006,CUS0322,RTE067,"Jl. Hayam Wuruk No. 199, Balikpapan","Jl. Kebon Jeruk No. 206, Samarinda",14.2,paket_besar,same_day,2023-09-29,2023-09-29,2023-10-01,delivered,362100,TRK2309290001
SHP01007,CUS0122,RTE077,"Jl. Cendrawasih No. 67, Pontianak","Jl. Merdeka No. 152, Singkawang",33.0,paket_kecil,regular,2024-06-12,2024-06-14,2024-06-16,delivered,264000,TRK2406120001
SHP01008,CUS0184,RTE010,"Jl. Merdeka No. 94, Jakarta","Jl. Sudirman No. 157, Denpasar",34.5,dokumen,regular,2023-06-03,2023-06-07,2023-06-08,delivered,483000,TRK2306030002
SHP01009,CUS0116,RTE037,"Jl. Pajajaran No. 249, Bandung","Jl. Anggrek No. 291, Malang",38.6,paket_besar,regular,2022-07-04,2022-07-08,2022-07-09,delivered,463200,TRK2207040003
SHP01010,CUS0458,RTE020,"Jl. Setiabudi No. 209, Surabaya","Jl. Mangga No. 143, Malang",28.8,paket_sedang,express,2022-11-26,2022-11-27,,returned,460800,TRK2211260002
SHP01011,CUS0527,RTE026,"Jl. Asia Afrika No. 282, Surabaya","Jl. Sudirman No. 30, Solo",11.0,paket_sedang,regular,2022-02-12,2022-02-14,2022-02-16,delivered,93500,TRK2202120003
SHP01012,CUS0173,RTE001,"Jl. Thamrin No. 3, Jakarta","Jl. Gajah Mada No. 101, Bandung",37.4,paket_sedang,regular,2025-01-19,2025-01-21,2025-01-21,delivered,299200,TRK2501190003
SHP01013,CUS0099,RTE001,"Jl. Hayam Wuruk No. 24, Jakarta","Jl. Hayam Wuruk No. 92, Bandung",13.6,paket_besar,regular,2025-01-31,2025-02-02,2025-02-04,delivered,108800,TRK2501310002
SHP01014,CUS0364,RTE071,"Jl. Margonda No. 83, Pekanbaru","Jl. Cendrawasih No. 88, Padang",33.0,paket_sedang,express,2022-05-08,2022-05-09,2022-05-09,delivered,676500,TRK2205080001
SHP01015,CUS0408,RTE069,"Jl. Margonda No. 222, Balikpapan","Jl. Pahlawan No. 235, Pontianak",37.8,fragile,regular,2022-12-30,2023-01-03,2023-01-05,delivered,491400,TRK2212300001
SHP01016,CUS0212,RTE065,"Jl. Cempaka No. 198, Yogyakarta","Jl. Raya Bogor No. 105, Surabaya",10.8,paket_sedang,same_day,2022-06-20,2022-06-20,2022-06-21,delivered,275400,TRK2206200002
SHP01017,CUS0117,RTE070,"Jl. Setiabudi No. 207, Balikpapan","Jl. Pahlawan No. 204, Makassar",22.8,paket_kecil,express,2023-09-17,2023-09-19,,returned,615600,TRK2309170001
SHP01018,CUS0112,RTE001,"Jl. Gatot Subroto No. 98, Jakarta","Jl. Diponegoro No. 259, Bandung",39.6,paket_kecil,regular,2022-11-09,2022-11-11,,in_transit,316800,TRK2211090002
SHP01019,CUS0102,RTE070,"Jl. Anggrek No. 115, Balikpapan","Jl. Gajah Mada No. 96, Makassar",23.1,paket_sedang,regular,2024-12-18,2024-12-22,2024-12-23,delivered,265650,TRK2412180003
SHP01020,CUS0021,RTE052,"Jl. Melati No. 253, Makassar","Jl. Imam Bonjol No. 49, Manado",32.6,paket_sedang,express,2024-01-29,2024-02-01,2024-02-03,delivered,929100,TRK2401290002
SHP01021,CUS0172,RTE001,"Jl. Kebon Jeruk No. 276, Jakarta","Jl. Anggrek No. 52, Bandung",42.8,paket_besar,regular,2022-06-03,2022-06-05,2022-06-06,delivered,342400,TRK2206030004
SHP01022,CUS0479,RTE078,"Jl. Mawar No. 210, Pontianak","Jl. Asia Afrika No. 236, Balikpapan",45.9,paket_sedang,regular,2024-05-08,2024-05-12,,in_transit,596700,TRK2405080001
SHP01023,CUS0594,RTE069,"Jl. Kebon Jeruk No. 127, Balikpapan","Jl. Kenanga No. 154, Pontianak",17.6,paket_sedang,same_day,2022-02-04,2022-02-04,,in_transit,844800,TRK2202040002
SHP01024,CUS0155,RTE051,"Jl. Imam Bonjol No. 189, Medan","Jl. Margonda No. 205, Batam",26.7,paket_besar,express,2023-12-26,2023-12-28,2023-12-29,delivered,680850,TRK2312260001
SHP01025,CUS0097,RTE018,"Jl. Hayam Wuruk No. 230, Jakarta","Jl. Merdeka No. 158, Pontianak",30.9,paket_sedang,regular,2023-12-05,2023-12-09,2023-12-09,delivered,355350,TRK2312050001
SHP01026,CUS0280,RTE056,"Jl. Kebon Jeruk No. 5, Makassar","Jl. Setiabudi No. 228, Kendari",36.9,paket_besar,express,2022-02-16,2022-02-17,2022-02-17,delivered,701100,TRK2202160002
SHP01027,CUS0487,RTE019,"Jl. Setiabudi No. 211, Jakarta","Jl. Cendrawasih No. 156, Banjarmasin",3.2,paket_sedang,express,2024-03-22,2024-03-25,2024-03-26,delivered,94400,TRK2403220001
SHP01028,CUS0576,RTE001,"Jl. Kenanga No. 235, Jakarta","Jl. Pemuda No. 255, Bandung",12.8,paket_kecil,express,2023-08-06,2023-08-07,,returned,217600,TRK2308060001
SHP01029,CUS0416,RTE036,"Jl. Gatot Subroto No. 261, Bandung","Jl. Merdeka No. 259, Solo",42.4,paket_kecil,regular,2023-05-12,2023-05-15,2023-05-15,delivered,402800,TRK2305120003
SHP01030,CUS0470,RTE067,"Jl. Kebon Jeruk No. 176, Balikpapan","Jl. Merdeka No. 205, Samarinda",36.7,paket_sedang,express,2022-08-07,2022-08-08,,returned,623900,TRK2208070001
SHP01031,CUS0390,RTE038,"Jl. Setiabudi No. 300, Bandung","Jl. Kenanga No. 15, Cirebon",13.3,paket_kecil,express,2022-12-08,2022-12-09,2022-12-10,delivered,226100,TRK2212080003
SHP01032,CUS0528,RTE051,"Jl. Sudirman No. 168, Medan","Jl. Pahlawan No. 61, Batam",41.8,fragile,regular,2024-03-27,2024-03-31,2024-03-31,delivered,501600,TRK2403270002
SHP01033,CUS0470,RTE006,"Jl. Imam Bonjol No. 205, Jakarta","Jl. Pemuda No. 284, Surabaya",30.1,dokumen,express,2023-01-02,2023-01-04,2023-01-04,delivered,692300,TRK2301020001
SHP01034,CUS0259,RTE046,"Jl. Anggrek No. 54, Medan","Jl. Setiabudi No. 114, Padang",0.1,paket_besar,express,2023-01-25,2023-01-27,2023-01-30,delivered,2400,TRK2301250002
SHP01035,CUS0043,RTE043,"Jl. Melati No. 157, Semarang","Jl. Raya Bogor No. 277, Surabaya",27.6,paket_sedang,same_day,2024-08-28,2024-08-28,2024-08-28,delivered,745200,TRK2408280001
SHP01036,CUS0109,RTE071,"Jl. Gajah Mada No. 213, Pekanbaru","Jl. Veteran No. 8, Padang",7.6,fragile,regular,2022-01-27,2022-01-29,,in_transit,64600,TRK2201270001
SHP01037,CUS0049,RTE001,"Jl. Merdeka No. 24, Jakarta","Jl. Raya Bogor No. 177, Bandung",36.0,paket_besar,regular,2022-07-28,2022-07-30,2022-07-31,delivered,288000,TRK2207280003
SHP01038,CUS0365,RTE027,"Jl. Sudirman No. 184, Surabaya","Jl. Imam Bonjol No. 150, Medan",4.9,paket_kecil,express,2023-01-28,2023-01-31,2023-02-02,delivered,210700,TRK2301280001
SHP01039,CUS0555,RTE038,"Jl. Cendrawasih No. 230, Bandung","Jl. Mangga No. 27, Cirebon",25.2,paket_sedang,same_day,2022-02-09,2022-02-09,,in_transit,642600,TRK2202090001
SHP01040,CUS0122,RTE068,"Jl. Melati No. 83, Balikpapan","Jl. Cendrawasih No. 18, Banjarmasin",1.7,paket_sedang,regular,2024-05-25,2024-05-28,,returned,16150,TRK2405250001
SHP01041,CUS0382,RTE016,"Jl. Thamrin No. 119, Jakarta","Jl. Ahmad Yani No. 152, Manado",15.2,fragile,regular,2022-03-30,2022-04-06,2022-04-06,delivered,326800,TRK2203300002
SHP01042,CUS0281,RTE044,"Jl. Cendrawasih No. 287, Semarang","Jl. Imam Bonjol No. 192, Denpasar",8.3,fragile,regular,2022-10-18,2022-10-22,2022-10-24,delivered,95450,TRK2210180002
SHP01043,CUS0130,RTE015,"Jl. Hayam Wuruk No. 177, Jakarta","Jl. Cempaka No. 224, Makassar",43.6,paket_kecil,regular,2023-01-01,2023-01-06,2023-01-06,delivered,719400,TRK2301010002
SHP01044,CUS0186,RTE016,"Jl. Cempaka No. 5, Jakarta","Jl. Hayam Wuruk No. 121, Manado",10.9,paket_sedang,express,2023-08-27,2023-08-30,2023-08-30,delivered,572250,TRK2308270001
SHP01045,CUS0031,RTE034,"Jl. Melati No. 158, Bandung","Jl. Melati No. 200, Yogyakarta",15.2,paket_kecil,regular,2024-02-02,2024-02-05,2024-02-06,delivered,144400,TRK2402020002
SHP01046,CUS0448,RTE042,"Jl. Pahlawan No. 50, Semarang","Jl. Veteran No. 274, Malang",11.3,dokumen,regular,2022-10-08,2022-10-11,2022-10-11,delivered,107350,TRK2210080002
SHP01047,CUS0357,RTE028,"Jl. Asia Afrika No. 86, Surabaya","Jl. Margonda No. 29, Balikpapan",0.3,paket_kecil,regular,2023-01-14,2023-01-18,2023-01-21,delivered,3750,TRK2301140001
SHP01048,CUS0070,RTE061,"Jl. Veteran No. 74, Denpasar","Jl. Kebon Jeruk No. 238, Yogyakarta",24.8,paket_sedang,regular,2025-01-02,2025-01-05,2025-01-06,delivered,272800,TRK2501020001
SHP01049,CUS0253,RTE080,"Jl. Gajah Mada No. 285, Manado","Jl. Hayam Wuruk No. 165, Gorontalo",27.8,paket_kecil,express,2023-09-18,2023-09-20,2023-09-20,delivered,611600,TRK2309180003
SHP01050,CUS0355,RTE018,"Jl. Margonda No. 161, Jakarta","Jl. Asia Afrika No. 208, Pontianak",5.9,paket_sedang,express,2024-01-25,2024-01-28,2024-01-29,delivered,138650,TRK2401250001
SHP01051,CUS0460,RTE009,"Jl. Thamrin No. 173, Jakarta","Jl. Thamrin No. 271, Malang",42.6,dokumen,regular,2022-07-09,2022-07-13,2022-07-13,delivered,511200,TRK2207090001
SHP01052,CUS0466,RTE040,"Jl. Ahmad Yani No. 242, Semarang","Jl. Veteran No. 188, Yogyakarta",32.0,paket_kecil,regular,2023-09-02,2023-09-04,,returned,240000,TRK2309020001
SHP01053,CUS0449,RTE068,"Jl. Pajajaran No. 152, Balikpapan","Jl. Asia Afrika No. 237, Banjarmasin",6.0,paket_sedang,express,2024-07-29,2024-07-31,2024-07-31,delivered,129000,TRK2407290001
SHP01054,CUS0297,RTE078,"Jl. Merdeka No. 19, Pontianak","Jl. Hayam Wuruk No. 119, Balikpapan",24.5,paket_sedang,regular,2023-02-04,2023-02-08,,in_transit,318500,TRK2302040003
SHP01055,CUS0128,RTE068,"Jl. Merdeka No. 216, Balikpapan","Jl. Gatot Subroto No. 36, Banjarmasin",34.5,paket_kecil,express,2024-12-03,2024-12-05,,returned,741750,TRK2412030001
SHP01056,CUS0187,RTE055,"Jl. Thamrin No. 263, Makassar","Jl. Melati No. 260, Surabaya",26.8,paket_kecil,express,2022-05-20,2022-05-23,2022-05-23,delivered,723600,TRK2205200002
SHP01057,CUS0179,RTE062,"Jl. Kenanga No. 244, Yogyakarta","Jl. Merdeka No. 5, Solo",14.3,paket_sedang,regular,2023-10-10,2023-10-11,2023-10-12,delivered,107250,TRK2310100001
SHP01058,CUS0321,RTE024,"Jl. Asia Afrika No. 228, Surabaya","Jl. Margonda No. 157, Bandung",20.5,paket_besar,regular,2023-11-02,2023-11-06,2023-11-08,delivered,235750,TRK2311020002
SHP01059,CUS0495,RTE066,"Jl. Thamrin No. 52, Yogyakarta","Jl. Anggrek No. 290, Bandung",43.2,paket_kecil,express,2024-09-06,2024-09-07,2024-09-07,delivered,972000,TRK2409060001
SHP01060,CUS0286,RTE049,"Jl. Melati No. 45, Medan","Jl. Pajajaran No. 246, Banda Aceh",22.2,paket_kecil,regular,2024-03-25,2024-03-28,2024-03-29,delivered,233100,TRK2403250001
SHP01061,CUS0067,RTE040,"Jl. Veteran No. 108, Semarang","Jl. Imam Bonjol No. 70, Yogyakarta",29.4,paket_sedang,regular,2024-05-30,2024-06-01,2024-06-01,delivered,220500,TRK2405300002
SHP01062,CUS0350,RTE007,"Jl. Cempaka No. 295, Jakarta","Jl. Mangga No. 15, Yogyakarta",34.5,paket_kecil,express,2023-11-28,2023-11-30,2023-12-01,delivered,793500,TRK2311280001
SHP01063,CUS0592,RTE003,"Jl. Kenanga No. 120, Jakarta","Jl. Raya Bogor No. 175, Tangerang",8.3,paket_besar,express,2024-04-18,2024-04-19,2024-04-20,delivered,116200,TRK2404180001
SHP01064,CUS0298,RTE037,"Jl. Pahlawan No. 151, Bandung","Jl. Imam Bonjol No. 142, Malang",36.8,paket_sedang,express,2023-09-02,2023-09-04,2023-09-05,delivered,809600,TRK2309020002
SHP01065,CUS0469,RTE075,"Jl. Gajah Mada No. 225, Palembang","Jl. Pahlawan No. 288, Padang",45.6,paket_kecil,same_day,2024-10-01,2024-10-01,2024-10-01,delivered,1915200,TRK2410010002
SHP01066,CUS0585,RTE045,"Jl. Setiabudi No. 267, Semarang","Jl. Diponegoro No. 266, Medan",37.1,paket_besar,regular,2023-01-02,2023-01-08,,lost,742000,TRK2301020002
SHP01067,CUS0147,RTE010,"Jl. Mawar No. 299, Jakarta","Jl. Mawar No. 276, Denpasar",30.5,paket_besar,express,2022-06-01,2022-06-04,2022-06-06,delivered,1006500,TRK2206010003
SHP01068,CUS0307,RTE068,"Jl. Kenanga No. 97, Balikpapan","Jl. Kebon Jeruk No. 232, Banjarmasin",44.9,paket_sedang,regular,2024-12-19,2024-12-22,2024-12-22,delivered,426550,TRK2412190002
SHP01069,CUS0269,RTE043,"Jl. Asia Afrika No. 137, Semarang","Jl. Merdeka No. 218, Surabaya",24.9,paket_besar,express,2024-03-12,2024-03-13,2024-03-18,delivered,448200,TRK2403120001
SHP01070,CUS0108,RTE011,"Jl. Pahlawan No. 112, Jakarta","Jl. Kebon Jeruk No. 16, Medan",10.6,paket_sedang,same_day,2024-06-08,2024-06-08,2024-06-10,delivered,596250,TRK2406080004
SHP01071,CUS0117,RTE011,"Jl. Mangga No. 126, Jakarta","Jl. Cempaka No. 252, Medan",41.7,dokumen,regular,2022-01-24,2022-01-29,,in_transit,750600,TRK2201240002
SHP01072,CUS0024,RTE080,"Jl. Raya Bogor No. 294, Manado","Jl. Kebon Jeruk No. 86, Gorontalo",41.7,paket_sedang,express,2022-04-07,2022-04-09,2022-04-09,delivered,917400,TRK2204070003
SHP01073,CUS0152,RTE072,"Jl. Cendrawasih No. 217, Pekanbaru","Jl. Mangga No. 107, Palembang",11.1,paket_besar,regular,2023-10-04,2023-10-08,2023-10-10,delivered,127650,TRK2310040002
SHP01074,CUS0552,RTE003,"Jl. Setiabudi No. 238, Jakarta","Jl. Pajajaran No. 7, Tangerang",38.5,paket_sedang,regular,2022-09-17,2022-09-18,2022-09-19,delivered,269500,TRK2209170004
SHP01075,CUS0021,RTE016,"Jl. Asia Afrika No. 295, Jakarta","Jl. Veteran No. 300, Manado",4.1,paket_kecil,express,2022-09-15,2022-09-18,2022-09-21,delivered,215250,TRK2209150002
SHP01076,CUS0486,RTE040,"Jl. Diponegoro No. 162, Semarang","Jl. Gajah Mada No. 63, Yogyakarta",12.2,paket_sedang,express,2022-05-01,2022-05-02,2022-05-03,delivered,195200,TRK2205010003
SHP01077,CUS0336,RTE069,"Jl. Asia Afrika No. 258, Balikpapan","Jl. Margonda No. 63, Pontianak",2.2,paket_kecil,regular,2023-09-06,2023-09-10,2023-09-10,delivered,28600,TRK2309060001
SHP01078,CUS0473,RTE027,"Jl. Imam Bonjol No. 36, Surabaya","Jl. Hayam Wuruk No. 272, Medan",24.9,paket_kecil,regular,2022-10-14,2022-10-20,2022-10-23,delivered,522900,TRK2210140001
SHP01079,CUS0081,RTE028,"Jl. Margonda No. 179, Surabaya","Jl. Anggrek No. 206, Balikpapan",28.5,paket_kecil,regular,2022-05-04,2022-05-08,2022-05-10,delivered,356250,TRK2205040002
SHP01080,CUS0342,RTE070,"Jl. Hayam Wuruk No. 221, Balikpapan","Jl. Gatot Subroto No. 188, Makassar",31.7,paket_kecil,express,2023-05-20,2023-05-22,2023-05-22,delivered,855900,TRK2305200002
SHP01081,CUS0343,RTE050,"Jl. Imam Bonjol No. 123, Medan","Jl. Mangga No. 250, Jakarta",28.4,paket_kecil,regular,2022-07-27,2022-08-01,2022-08-01,delivered,511200,TRK2207270002
SHP01082,CUS0253,RTE051,"Jl. Raya Bogor No. 22, Medan","Jl. Raya Bogor No. 69, Batam",41.9,fragile,express,2024-09-22,2024-09-24,2024-09-24,delivered,1068450,TRK2409220003
SHP01083,CUS0029,RTE021,"Jl. Kenanga No. 216, Surabaya","Jl. Setiabudi No. 194, Yogyakarta",20.6,paket_kecil,regular,2023-08-28,2023-08-31,,in_transit,185400,TRK2308280003
SHP01084,CUS0182,RTE067,"Jl. Gatot Subroto No. 194, Balikpapan","Jl. Ahmad Yani No. 132, Samarinda",3.5,paket_besar,regular,2022-06-06,2022-06-08,2022-06-07,delivered,26250,TRK2206060002
SHP01085,CUS0108,RTE080,"Jl. Margonda No. 237, Manado","Jl. Hayam Wuruk No. 105, Gorontalo",16.8,paket_besar,express,2023-09-06,2023-09-08,2023-09-08,delivered,369600,TRK2309060002
SHP01086,CUS0272,RTE006,"Jl. Gajah Mada No. 64, Jakarta","Jl. Thamrin No. 97, Surabaya",33.5,paket_sedang,regular,2024-10-01,2024-10-05,2024-10-10,delivered,385250,TRK2410010003
SHP01087,CUS0009,RTE034,"Jl. Diponegoro No. 250, Bandung","Jl. Cendrawasih No. 107, Yogyakarta",21.2,fragile,express,2022-07-29,2022-07-30,,in_transit,477000,TRK2207290002
SHP01088,CUS0270,RTE034,"Jl. Raya Bogor No. 139, Bandung","Jl. Mawar No. 60, Yogyakarta",26.5,paket_sedang,express,2023-10-12,2023-10-13,,returned,596250,TRK2310120002
SHP01089,CUS0217,RTE003,"Jl. Mangga No. 211, Jakarta","Jl. Mangga No. 23, Tangerang",21.0,paket_sedang,express,2022-01-08,2022-01-09,2022-01-10,delivered,294000,TRK2201080001
SHP01090,CUS0178,RTE065,"Jl. Kenanga No. 143, Yogyakarta","Jl. Cempaka No. 261, Surabaya",22.8,paket_kecil,regular,2023-12-20,2023-12-23,2023-12-23,delivered,205200,TRK2312200003
SHP01091,CUS0243,RTE043,"Jl. Kenanga No. 233, Semarang","Jl. Diponegoro No. 252, Surabaya",6.3,paket_kecil,regular,2022-02-13,2022-02-16,2022-02-17,delivered,56700,TRK2202130003
SHP01092,CUS0436,RTE071,"Jl. Kenanga No. 62, Pekanbaru","Jl. Asia Afrika No. 197, Padang",42.0,paket_besar,same_day,2022-03-13,2022-03-13,2022-03-13,delivered,1291500,TRK2203130002
SHP01093,CUS0214,RTE076,"Jl. Anggrek No. 268, Palembang","Jl. Gatot Subroto No. 260, Jakarta",24.7,paket_sedang,regular,2024-01-06,2024-01-09,2024-01-14,delivered,234650,TRK2401060001
SHP01094,CUS0228,RTE030,"Jl. Merdeka No. 208, Surabaya","Jl. Pemuda No. 244, Palembang",22.5,paket_besar,regular,2023-04-22,2023-04-27,2023-04-29,delivered,315000,TRK2304220002
